TF	target	importance
WT1pKTS	FOXL2	0.3375585710278581
DMRT1	DKK1	0.3308213212478209
DKK1	DMRT1	0.33027271421028226
FOXL2	WT1pKTS	0.30296517712460036
CTNNB1	RSPO1	0.28663916813370005
DHH	FGF9	0.2610458612518082
CBX2	UGR	0.2607777879931953
UGR	CBX2	0.2535470722028573
RSPO1	CTNNB1	0.2463924065916545
RSPO1	WNT4	0.2416536438348632
FGF9	DHH	0.24113325792347076
FGF9	PGD2	0.22860901220254937
DKK1	SRY	0.22740088612593934
PGD2	FGF9	0.22703997658972241
DMRT1	SRY	0.22665129970381734
DHH	PGD2	0.2258788315990502
DHH	AMH	0.2242927616928661
PGD2	AMH	0.21941584123580407
PGD2	DHH	0.21682146940627353
RSPO1	NR5A1	0.210832482987511
SRY	DMRT1	0.20233565173808646
SRY	DKK1	0.20146160104126964
FGF9	SOX9	0.198132896278876
AMH	DHH	0.19710446403732598
AMH	PGD2	0.19403829849978999
FOXL2	CTNNB1	0.19242550614777967
FGF9	AMH	0.18675963378660826
AMH	FGF9	0.18083743077550368
CTNNB1	WNT4	0.17343194477479026
PGD2	SOX9	0.17300778644007545
GATA4	WT1mKTS	0.17194725630679517
WT1mKTS	GATA4	0.17141538776786933
RSPO1	NR0B1	0.16378612241373197
CTNNB1	FOXL2	0.16340310138369143
WNT4	RSPO1	0.16147596011537207
DHH	SOX9	0.16087435334520786
WNT4	NR0B1	0.15893918071147012
NR0B1	WNT4	0.15016997717367225
SRY	UGR	0.14696454807676174
NR5A1	FOXL2	0.13462720351668292
NR5A1	RSPO1	0.13206274634849988
SOX9	DKK1	0.12998915887304943
SOX9	DMRT1	0.12386375302399716
CTNNB1	WT1pKTS	0.12251332856311407
FOXL2	NR5A1	0.12195968229026125
SRY	WT1pKTS	0.12188869472488854
SOX9	PGD2	0.12173532305094448
SOX9	DHH	0.12062131034116134
NR5A1	WT1pKTS	0.1204905476732474
FOXL2	RSPO1	0.11955825198784874
CTNNB1	NR5A1	0.11903758879284712
RSPO1	FOXL2	0.11291098446218746
SOX9	AMH	0.11233533174401318
SOX9	SRY	0.10343402299488078
SOX9	FGF9	0.10318146019468796
AMH	SOX9	0.10087103895914157
CTNNB1	NR0B1	0.10038041690131423
NR5A1	CTNNB1	0.09915037833199827
WT1pKTS	WT1mKTS	0.09914749465418655
NR0B1	UGR	0.09805246713864715
WT1pKTS	NR5A1	0.09719020093119879
UGR	WT1mKTS	0.09371807774086838
UGR	GATA4	0.09256841147120969
WNT4	CTNNB1	0.09125493428263927
DKK1	CBX2	0.09122397935469108
WT1pKTS	CTNNB1	0.08851008936999705
NR5A1	CBX2	0.08735827148351916
DMRT1	SOX9	0.08596486990537747
WT1pKTS	SRY	0.0848144197963283
WT1pKTS	GATA4	0.08434569698724635
DMRT1	CBX2	0.080932065091091
DKK1	SOX9	0.07993710551268572
RSPO1	CBX2	0.07827388858401652
NR5A1	GATA4	0.07610621323080323
NR0B1	GATA4	0.07601448407773446
NR5A1	WT1mKTS	0.0751559669539773
UGR	NR0B1	0.07472234828145904
AMH	NR0B1	0.072044801119008
CBX2	WT1mKTS	0.0716618010483237
NR0B1	RSPO1	0.07051461618895931
WNT4	UGR	0.0670923636371243
RSPO1	WT1pKTS	0.06530948968807433
NR0B1	WT1mKTS	0.0648755517027775
FOXL2	WNT4	0.06417994112517435
SRY	FOXL2	0.06376967534595489
SRY	CTNNB1	0.06321408250842295
NR0B1	AMH	0.062462122229864414
CBX2	GATA4	0.061785499601713166
CTNNB1	CBX2	0.06167775486033002
DKK1	DHH	0.06106001885407764
SOX9	WNT4	0.06035910234621281
FGF9	DMRT1	0.05987121560321952
DKK1	FGF9	0.05943301040447505
SRY	NR0B1	0.05828967543145424
DKK1	AMH	0.05767344694687573
RSPO1	UGR	0.05710546199356633
DKK1	PGD2	0.05692247030877009
PGD2	NR0B1	0.056771064559895744
SOX9	NR5A1	0.056419027631119945
FGF9	DKK1	0.05551024227526164
NR0B1	NR5A1	0.05518342040005873
DHH	DKK1	0.05484971450611682
NR5A1	NR0B1	0.0548297227828366
DHH	DMRT1	0.05216929240905871
WNT4	GATA4	0.05137218202326032
WNT4	FOXL2	0.051252060545768016
NR0B1	PGD2	0.050982099372302525
SRY	NR5A1	0.050691581960598704
SRY	GATA4	0.05044239427358386
NR5A1	SOX9	0.050256864219568674
WT1pKTS	RSPO1	0.05015247240194933
PGD2	DMRT1	0.05013900941557805
PGD2	DKK1	0.049972529230858355
NR0B1	CTNNB1	0.04931469309637974
CBX2	NR5A1	0.04903119614007126
DKK1	UGR	0.04884533562293552
WNT4	WT1mKTS	0.048454496103641
SRY	CBX2	0.04772503218940772
DKK1	CTNNB1	0.04767042633817736
NR5A1	WNT4	0.047268413133164294
SOX9	CBX2	0.04716539668937009
FGF9	NR0B1	0.04641062015154614
DMRT1	AMH	0.04636325730933688
DMRT1	UGR	0.04565909092461918
SRY	WT1mKTS	0.044518807310238426
DMRT1	FGF9	0.044188843528827605
DMRT1	PGD2	0.043883167099692214
DKK1	WT1pKTS	0.04386292990287694
SRY	SOX9	0.04268247883402329
FGF9	SRY	0.04195023709389489
CTNNB1	SRY	0.04194134715622197
WNT4	NR5A1	0.04098123772587812
DMRT1	WT1mKTS	0.04088373591749299
WT1pKTS	CBX2	0.04085190577601445
DHH	NR0B1	0.04068414026200705
WNT4	SOX9	0.04017645800378765
DMRT1	WT1pKTS	0.03996511886720895
NR0B1	FGF9	0.039919040523178406
CTNNB1	GATA4	0.03966674927539387
DHH	SRY	0.03905205243416233
WT1mKTS	UGR	0.03896395187362238
AMH	DMRT1	0.0384950152253671
DKK1	WNT4	0.038287150552535634
RSPO1	GATA4	0.03813093251222105
DMRT1	CTNNB1	0.038067778340842386
DKK1	GATA4	0.03805991326949976
GATA4	UGR	0.03786218480988811
RSPO1	WT1mKTS	0.03776935903736854
DMRT1	DHH	0.03762039242477237
AMH	DKK1	0.03721185111939489
PGD2	SRY	0.03720898605827891
UGR	WNT4	0.03715168143209562
DKK1	WT1mKTS	0.03708640398944972
CTNNB1	UGR	0.037064137939523165
DMRT1	WNT4	0.03704794940674175
WT1mKTS	WT1pKTS	0.03688520314832593
NR0B1	DHH	0.0365901785264712
DMRT1	GATA4	0.03648372318171985
CTNNB1	WT1mKTS	0.03572912862250196
WT1mKTS	CBX2	0.033875978317173205
FOXL2	WT1mKTS	0.03286008947935378
SOX9	WT1mKTS	0.032308749715292275
PGD2	GATA4	0.032248095800649364
SOX9	UGR	0.03210501621092491
SOX9	GATA4	0.03196968811967173
DHH	GATA4	0.03110676270790535
DKK1	NR5A1	0.030845459844065913
FOXL2	GATA4	0.030219078549964015
DHH	WT1mKTS	0.030050309307476798
DMRT1	NR5A1	0.029631202960882005
UGR	SRY	0.02949803398929332
PGD2	WT1mKTS	0.029417362733856183
NR0B1	FOXL2	0.02926571566141628
AMH	GATA4	0.029043438726548302
FGF9	GATA4	0.029021348423006393
CBX2	NR0B1	0.028863567520002107
SRY	RSPO1	0.02874715551243276
AMH	WT1mKTS	0.02869092142615182
FGF9	WNT4	0.028269893159406284
FOXL2	CBX2	0.027426362238576207
CBX2	RSPO1	0.026503006502764805
NR0B1	SRY	0.026149809379685574
GATA4	CBX2	0.026127579261051227
AMH	SRY	0.026059143923860103
DMRT1	FOXL2	0.025996082779505117
GATA4	WT1pKTS	0.025957403695698038
