TF	target	importance
UGR	CBX2	196.90565481243377
DKK1	DMRT1	192.54012444265257
WT1pKTS	FOXL2	170.93392357954315
FOXL2	WT1pKTS	163.96677954004699
CBX2	UGR	161.86463218782112
DMRT1	DKK1	143.13746980163594
RSPO1	NR5A1	132.90793992645504
SRY	DMRT1	131.65110911252296
CTNNB1	NR5A1	125.99523898341549
SOX9	DMRT1	117.40694270104443
FGF9	PGD2	115.710261453783
SRY	DKK1	114.00637025998385
RSPO1	CTNNB1	111.84409958668003
NR5A1	CBX2	106.99074239499099
WT1pKTS	NR5A1	102.42147431804823
CTNNB1	WNT4	99.19201136834664
FOXL2	RSPO1	98.98269839595669
AMH	PGD2	97.78342236141172
RSPO1	FOXL2	96.7158786462756
SRY	WT1pKTS	96.71038356319961
NR5A1	FOXL2	93.19110818422932
NR5A1	RSPO1	93.08281107453111
FGF9	AMH	92.97117665918645
GATA4	WT1mKTS	92.55003292127543
CTNNB1	RSPO1	91.12358266351957
DHH	SOX9	91.04251936478735
FOXL2	NR5A1	90.08947150513198
WT1mKTS	GATA4	90.08415467595626
NR5A1	WT1pKTS	88.49465021429803
WT1pKTS	CTNNB1	88.37886949387935
DKK1	SOX9	87.45541189528953
DMRT1	SRY	87.20759959194518
SOX9	DKK1	85.3309685489675
CTNNB1	FOXL2	83.93996193137897
WNT4	UGR	82.60383382479071
RSPO1	WT1pKTS	81.0570148108206
RSPO1	WNT4	80.84484372609565
PGD2	DHH	80.77320934835616
AMH	DHH	80.20962563049885
PGD2	AMH	79.94848921236843
FOXL2	CTNNB1	78.36954029590619
CTNNB1	UGR	78.20762594211989
NR0B1	UGR	77.87932194493776
PGD2	FGF9	77.72834922328278
UGR	NR0B1	76.13436564564172
RSPO1	NR0B1	75.59811690836803
DHH	FGF9	75.33613801373798
AMH	FGF9	72.71766369393549
DHH	DMRT1	71.10050563600866
NR0B1	WNT4	70.74451877396785
SOX9	AMH	69.40591727590783
NR5A1	CTNNB1	69.29329620945104
SOX9	PGD2	68.41746988538779
DHH	AMH	66.6345595889968
WT1pKTS	CBX2	66.18436947124076
SOX9	SRY	65.97127941510324
FGF9	SOX9	64.87768266033035
SOX9	NR5A1	63.43664416409828
WNT4	FOXL2	63.29397339603039
FGF9	DHH	63.253620475002585
DKK1	CBX2	62.44049160453224
WNT4	RSPO1	61.502176304812
SOX9	DHH	61.31412609960256
DKK1	SRY	60.98986085424539
CTNNB1	WT1pKTS	60.950788474620595
AMH	NR0B1	60.89166913057591
RSPO1	CBX2	60.814423005032346
WNT4	DMRT1	60.433441279529134
FGF9	NR0B1	60.35303284807551
WNT4	CTNNB1	59.8395774994265
PGD2	SOX9	59.69655728108646
WNT4	CBX2	59.551237721957804
WNT4	NR0B1	57.66210383243524
NR0B1	CBX2	57.590325793023545
DHH	PGD2	57.47332785331585
SOX9	FGF9	55.96105928771076
DMRT1	SOX9	55.392955270837014
CBX2	NR5A1	54.88929545708642
SOX9	CBX2	54.36418359691238
FGF9	DKK1	54.33762265215811
DHH	DKK1	53.839823352038856
NR0B1	PGD2	53.61390724337544
FOXL2	SRY	53.13007132091268
DMRT1	CBX2	52.94140079850251
NR0B1	RSPO1	52.79900883742553
CTNNB1	NR0B1	52.6242362888407
PGD2	SRY	52.4638259506208
RSPO1	DMRT1	52.09170179055192
PGD2	NR0B1	52.06918648608342
CBX2	DMRT1	51.85123464882385
FGF9	DMRT1	51.77942040137431
PGD2	DMRT1	51.212133277133304
SRY	UGR	50.83070612824992
AMH	DMRT1	50.553920442924934
WT1pKTS	SRY	50.36687280201458
PGD2	DKK1	50.277306406086694
WNT4	NR5A1	50.00729551883179
AMH	DKK1	49.58434750994399
DMRT1	WT1pKTS	49.25320911844007
DMRT1	UGR	48.934755218644206
SRY	FOXL2	48.56795037568122
WNT4	SOX9	48.45819520026696
DKK1	PGD2	47.86741684600946
NR0B1	FGF9	47.82918221686943
FGF9	NR5A1	47.705313509601126
CBX2	RSPO1	47.643024280944424
UGR	GATA4	47.443186351136646
DKK1	FGF9	47.39277038776333
CTNNB1	DMRT1	46.79599479747701
DMRT1	FOXL2	46.468775648517024
AMH	SOX9	46.460331063733385
DMRT1	AMH	46.29175671528071
SRY	NR5A1	45.79744475471994
DHH	NR0B1	45.56095219544484
DKK1	FOXL2	45.504687291871285
SOX9	NR0B1	45.29592212191757
FGF9	WNT4	45.15012442005284
WT1pKTS	DKK1	44.89397220818864
WNT4	DKK1	44.85572750631297
CTNNB1	CBX2	44.46792016042948
NR0B1	CTNNB1	44.35335244195391
NR0B1	DHH	44.09315862360002
CTNNB1	SRY	43.38805333650013
SRY	FGF9	43.34523026291857
WNT4	DHH	43.27032175634027
NR5A1	GATA4	43.251917738972544
SRY	CTNNB1	42.95272665733191
NR5A1	NR0B1	42.88079627087668
NR0B1	FOXL2	41.94935539162787
