Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.469165	1.000000	0.697300
FGF9	+	DMRT1	0.144603	0.985442	0.211788
RSPO1	+	DMRT1	0.187304	0.999597	0.278270
DHH	+	DMRT1	0.044089	0.106724	0.006993
CTNNB1	-	DMRT1	-0.212896	0.999475	-0.316251
PGD2	-	DMRT1	-0.004606	0.103762	-0.000710
WT1mKTS	+	DMRT1	0.171833	0.991347	0.253178
SRY	+	DMRT1	0.045944	0.060298	0.004117
DKK1	+	DMRT1	0.354581	1.000000	0.526999
WNT4	+	DMRT1	0.289485	0.000000	0.000000
CBX2	-	DMRT1	-0.139518	0.999847	-0.207328
AMH	+	DMRT1	0.003150	0.089189	0.000418
NR0B1	+	DMRT1	0.139175	0.990729	0.204932
NR5A1	+	DMRT1	0.238905	0.000000	0.000000
WT1pKTS	+	DMRT1	0.050359	0.047383	0.003546
FOXL2	-	DMRT1	-0.049071	0.427435	-0.031174
UGR	-	DMRT1	-0.013248	0.049874	-0.000982
SOX9	+	DMRT1	0.133843	0.833878	0.165879
GATA4	+	DMRT1	0.108268	0.123733	0.019910
DMRT1	+	FGF9	0.011229	0.056850	0.000949
FGF9	+	FGF9	0.285086	1.000000	0.423712
RSPO1	-	FGF9	-0.008483	0.031345	-0.000395
DHH	+	FGF9	0.317749	1.000000	0.472256
CTNNB1	+	FGF9	0.009575	0.033239	0.000473
PGD2	+	FGF9	0.257095	1.000000	0.382110
WT1mKTS	-	FGF9	-0.049530	0.842908	-0.062050
SRY	-	FGF9	-0.031802	0.404316	-0.019111
DKK1	-	FGF9	-0.006974	0.094186	-0.000976
WNT4	+	FGF9	0.008444	0.043122	0.000541
CBX2	-	FGF9	-0.003349	0.039989	-0.000199
AMH	+	FGF9	0.267641	1.000000	0.397783
NR0B1	-	FGF9	-0.055823	0.657642	-0.054563
NR5A1	-	FGF9	-0.028600	0.345266	-0.014676
WT1pKTS	+	FGF9	0.081198	0.036534	0.004409
FOXL2	-	FGF9	-0.101573	0.565375	-0.085351
UGR	-	FGF9	-0.039637	0.188129	-0.011083
SOX9	+	FGF9	0.120584	0.933107	0.167230
GATA4	+	FGF9	0.069502	0.026903	0.002779
DMRT1	+	RSPO1	0.067488	0.043060	0.004319
FGF9	-	RSPO1	-0.022300	0.189415	-0.006278
RSPO1	+	RSPO1	0.519319	1.000000	0.771842
DHH	-	RSPO1	-0.017856	0.152947	-0.004059
CTNNB1	+	RSPO1	0.160016	0.999982	0.237821
PGD2	-	RSPO1	-0.026774	0.241260	-0.009600
WT1mKTS	+	RSPO1	0.000321	0.084313	0.000040
SRY	+	RSPO1	0.011386	0.048758	0.000825
DKK1	+	RSPO1	0.023798	0.049396	0.001747
WNT4	+	RSPO1	0.158891	1.000000	0.236153
CBX2	+	RSPO1	0.143980	0.000000	0.000000
AMH	-	RSPO1	-0.000606	0.086501	-0.000078
NR0B1	-	RSPO1	-0.041427	0.767328	-0.047246
NR5A1	+	RSPO1	0.131548	0.000000	0.000000
WT1pKTS	-	RSPO1	-0.040586	0.921586	-0.055591
FOXL2	+	RSPO1	0.226586	0.931349	0.313646
UGR	+	RSPO1	0.074603	0.729935	0.080935
SOX9	+	RSPO1	0.005400	0.066946	0.000537
GATA4	+	RSPO1	0.091061	0.000223	0.000030
DMRT1	-	DHH	-0.010956	0.113126	-0.001842
FGF9	+	DHH	0.280918	1.000000	0.417516
RSPO1	-	DHH	-0.001995	0.027100	-0.000080
DHH	+	DHH	0.301551	1.000000	0.448182
CTNNB1	+	DHH	0.024310	0.066592	0.002406
PGD2	+	DHH	0.260158	1.000000	0.386662
WT1mKTS	-	DHH	-0.034490	0.469860	-0.024085
SRY	-	DHH	-0.023000	0.233206	-0.007972
DKK1	+	DHH	0.036371	0.046827	0.002531
WNT4	+	DHH	0.028646	0.113741	0.004843
CBX2	+	DHH	0.006967	0.035246	0.000365
AMH	+	DHH	0.282862	1.000000	0.420406
NR0B1	-	DHH	-0.050299	0.498917	-0.037298
NR5A1	-	DHH	-0.010379	0.095165	-0.001468
WT1pKTS	+	DHH	0.032174	0.039419	0.001885
FOXL2	+	DHH	0.028562	0.416936	0.017699
UGR	-	DHH	-0.017246	0.057085	-0.001463
SOX9	+	DHH	0.128227	0.981289	0.187012
GATA4	+	DHH	0.040311	0.034705	0.002079
DMRT1	-	CTNNB1	-0.058283	0.998857	-0.086524
FGF9	+	CTNNB1	0.002134	0.082565	0.000262
RSPO1	+	CTNNB1	0.110934	1.000000	0.164877
DHH	+	CTNNB1	0.007311	0.082649	0.000898
CTNNB1	+	CTNNB1	0.424624	1.000000	0.631100
PGD2	+	CTNNB1	0.009767	0.086527	0.001256
WT1mKTS	+	CTNNB1	0.004369	0.073220	0.000475
SRY	+	CTNNB1	0.045429	0.118152	0.007978
DKK1	-	CTNNB1	-0.060630	0.999190	-0.090039
WNT4	-	CTNNB1	-0.000917	0.053100	-0.000072
CBX2	-	CTNNB1	-0.066441	0.998627	-0.098613
AMH	+	CTNNB1	0.002300	0.077690	0.000266
NR0B1	+	CTNNB1	0.027330	0.116380	0.004727
NR5A1	+	CTNNB1	0.007488	0.062269	0.000693
WT1pKTS	+	CTNNB1	0.054661	0.099888	0.008115
FOXL2	-	CTNNB1	-0.108460	0.720336	-0.116118
UGR	+	CTNNB1	0.025861	0.130287	0.005008
SOX9	+	CTNNB1	0.038522	0.183390	0.010500
GATA4	-	CTNNB1	-0.003584	0.098656	-0.000526
DMRT1	-	PGD2	-0.031558	0.382482	-0.017940
FGF9	+	PGD2	0.179891	0.999999	0.267364
RSPO1	+	PGD2	0.002047	0.026388	0.000080
DHH	+	PGD2	0.252454	1.000000	0.375211
CTNNB1	+	PGD2	0.018176	0.053257	0.001439
PGD2	+	PGD2	0.344459	1.000000	0.511955
WT1mKTS	-	PGD2	-0.048861	0.907676	-0.065915
SRY	-	PGD2	-0.006364	0.095797	-0.000906
DKK1	+	PGD2	0.060017	0.052208	0.004657
WNT4	+	PGD2	0.020388	0.082890	0.002512
CBX2	+	PGD2	0.003004	0.034725	0.000155
AMH	+	PGD2	0.302405	1.000000	0.449452
NR0B1	-	PGD2	-0.057411	0.821496	-0.070096
NR5A1	+	PGD2	0.006665	0.052037	0.000515
WT1pKTS	+	PGD2	0.024976	0.039368	0.001461
FOXL2	-	PGD2	-0.080448	0.529853	-0.063353
UGR	-	PGD2	-0.026353	0.110309	-0.004321
SOX9	+	PGD2	0.113876	0.927734	0.157018
GATA4	+	PGD2	0.066470	0.025923	0.002561
DMRT1	+	WT1mKTS	0.221683	0.999997	0.329478
FGF9	+	WT1mKTS	0.122245	0.469653	0.085330
RSPO1	-	WT1mKTS	-0.001205	0.044388	-0.000080
DHH	-	WT1mKTS	-0.036062	0.136943	-0.007340
CTNNB1	+	WT1mKTS	0.140271	0.541038	0.112795
PGD2	+	WT1mKTS	0.050143	0.111385	0.008301
