Gene1	Gene2	Score
DKK1	AMH	0.957590269846713
DKK1	PGD2	0.956143958204052
DKK1	DMRT1	0.955132225248418
DMRT1	DKK1	0.955132225248418
DKK1	FGF9	0.955023503162478
DMRT1	AMH	0.954834594362164
DMRT1	PGD2	0.952755414646988
DKK1	DHH	0.952755071530427
DMRT1	FGF9	0.952294818816172
DMRT1	DHH	0.948498725238087
DKK1	SOX9	0.946897078855093
SOX9	AMH	0.944440470855038
DMRT1	SOX9	0.943948649223997
SOX9	PGD2	0.942982706475825
SOX9	FGF9	0.939320814243951
SOX9	DHH	0.934112315777308
UGR	WNT4	0.891214003241076
NR0B1	DKK1	0.877681998702273
NR0B1	WNT4	-0.875735696832123
NR0B1	DMRT1	0.871969765820541
SRY	DKK1	0.856185515497986
SRY	DMRT1	0.854269103727709
UGR	DKK1	-0.852805359496254
UGR	DMRT1	-0.851710932736995
SRY	SOX9	0.848304582364391
SRY	PGD2	0.84813316717561
NR0B1	SOX9	0.847666674771049
SRY	FGF9	0.847085493603644
SRY	DHH	0.846769249913459
SRY	AMH	0.846562139183153
DKK1	NR0B1	-0.845173669661797
DMRT1	NR0B1	-0.843265090715697
NR0B1	SRY	0.838696825924281
NR0B1	UGR	-0.836507263146886
UGR	SOX9	-0.831860914950815
SRY	NR0B1	0.821779832932735
NR0B1	CBX2	-0.808465807520192
UGR	NR0B1	-0.804648985645042
SRY	WNT4	-0.797749850789926
NR0B1	PGD2	0.795478356221571
UGR	CBX2	0.794329344454898
CTNNB1	RSPO1	0.791088462427952
NR0B1	DHH	0.790030844893873
UGR	RSPO1	0.78934109749485
NR0B1	FGF9	0.786219887544284
NR0B1	AMH	0.781461632753222
CBX2	WNT4	0.778634322737855
UGR	SRY	-0.77725522688809
SRY	CBX2	-0.761733243722617
WNT4	NR0B1	0.761150139772381
SRY	UGR	-0.756069139620991
DKK1	SRY	0.750910383111467
GATA4	UGR	-0.749522957455143
WT1pKTS	WT1mKTS	0.747041775937741
WT1mKTS	WT1pKTS	0.747041775937741
DMRT1	SRY	0.74627682305934
UGR	PGD2	-0.745873740565066
UGR	FGF9	-0.744921465930707
WT1pKTS	UGR	-0.743903498643887
UGR	DHH	-0.743205876802472
WT1mKTS	UGR	-0.742097397304693
CBX2	NR0B1	0.736086868647443
RSPO1	NR5A1	-0.735782596517096
UGR	AMH	-0.7299068829633
WT1pKTS	DKK1	0.72666117862461
WT1mKTS	DKK1	0.71374316876089
NR5A1	WNT4	0.711146818011126
WT1pKTS	DMRT1	0.709357319679731
GATA4	DKK1	0.707224540226834
WT1mKTS	DMRT1	0.703036534435033
