Regulator	Target	SINGE_Score
FGF9	NR5A1	6
FOXL2	DKK1	1.5
PGD2	WNT4	0.66666
FOXL2	NR5A1	0.375
PGD2	SOX9	0.16666
FOXL2	SOX9	0.12244
FOXL2	DMRT1	0.07407
FOXL2	NR0B1	0.06
FOXL2	DHH	0.04958
FOXL2	FGF9	0.04166
PGD2	NR5A1	0.0355
FGF9	DHH	0.03061
FOXL2	PGD2	0.02666
FGF9	WT1pKTS	0.02343
FGF9	PGD2	0.02076
AMH	WT1mKTS	0.01851
FGF9	AMH	0.01662
FOXL2	UGR	0.015
PGD2	FGF9	0.01239
PGD2	NR0B1	0.01134
FGF9	DKK1	0.01041
FOXL2	GATA4	0.0096
PGD2	GATA4	0.00823
AMH	PGD2	0.00765
PGD2	RSPO1	0.00713
FOXL2	AMH	0.00585
PGD2	AMH	0.0055
AMH	FGF9	0.00519
FOXL2	WNT4	0.00489
PGD2	DKK1	0.00462
FOXL2	CTNNB1	0.00438
PGD2	CTNNB1	0.00415
FOXL2	WT1pKTS	0.00394
FOXL2	SRY	0.00375
UGR	SOX9	0.00356
FGF9	UGR	0.0034
FGF9	SOX9	0.00324
FGF9	SRY	0.00309
PGD2	DMRT1	0.00296
FOXL2	CBX2	0.00283
AMH	RSPO1	0.00271
FGF9	RSPO1	0.0026
DHH	DMRT1	0.00249
AMH	NR5A1	0.0024
SOX9	NR5A1	0.0023
SOX9	DKK1	0.00221
AMH	NR0B1	0.00213
SOX9	FGF9	0.00205
PGD2	WT1pKTS	0.00198
SOX9	DHH	0.00191
PGD2	SRY	0.00184
DHH	NR0B1	0.00178
UGR	DMRT1	0.00172
PGD2	WT1mKTS	0.00166
SOX9	RSPO1	0.00161
SOX9	AMH	0.00156
FGF9	WT1mKTS	0.00151
SOX9	SRY	0.00146
SOX9	PGD2	0.00129
CBX2	DHH	0.00126
CBX2	AMH	0.00119
FGF9	WNT4	0.00115
DHH	UGR	0.00112
GATA4	UGR	0.00109
FOXL2	WT1mKTS	0.00103
WT1pKTS	SOX9	0.00101
AMH	DKK1	0.00098
UGR	RSPO1	0.00096
CBX2	PGD2	0.00091
UGR	AMH	0.00089
UGR	SRY	0.00087
CBX2	FGF9	0.00085
SOX9	CTNNB1	0.00083
CBX2	SOX9	0.00079
NR5A1	DMRT1	0.00077
UGR	GATA4	0.00075
UGR	PGD2	0.00074
