TF	target	importance
HLA-DRB5	HLA-DRB1	0.18488363353620102
HLA-DPA1	CD74	0.1842390761934184
CD74	HLA-DPA1	0.18097500704400488
HLA-DRB1	HLA-DRB5	0.17842200359738078
CD74	HLA-DQA1	0.16846212890376794
HLA-DPA1	HLA-DQA1	0.16164435836283267
CD74	HLA-DRB1	0.16148066849210424
HLA-DQA1	HLA-DPA1	0.16052860775446454
CD74	HLA-DRB5	0.15610523841697238
HLA-DPA1	HLA-DRB5	0.14692199193815983
HLA-DQA1	HLA-DRB1	0.14613025223144582
HLA-DRB1	CD74	0.14472738745998964
HLA-DRB1	HLA-DQA1	0.1440201381208548
HLA-DRB5	CD74	0.14174292944159667
HLA-DRB5	HLA-DPA1	0.14094334216261642
HLA-DPA1	HLA-DRB1	0.13857329244638275
HLA-DQA1	CD74	0.13834903849392124
HLA-DRB5	HLA-DQA1	0.1363689570521818
TNFRSF18	TNFRSF4	0.13216671541886763
HLA-DRB1	HLA-DPA1	0.1294658250333297
HLA-DQA1	HLA-DRB5	0.12921108894888517
TNFRSF4	TNFRSF18	0.1279181863986333
TMSB4X	ACTB	0.12212897720893148
ACTB	TMSB10	0.11463922894428531
GZMA	CCL5	0.11260534673842451
ACTB	TMSB4X	0.11211515481324016
TMSB4X	TMSB10	0.10989546146269008
S100A4	S100A10	0.10732825076003999
IL32	PTPRCAP	0.09822481149353936
S100A10	S100A4	0.09604531976850762
TMSB10	S100A10	0.09586633961635599
IL22	CD40LG	0.09411948848014257
IL32	CD3E	0.09398551872523687
CCL5	GZMA	0.09246005946445383
TRBV4-1	TRAV8-3	0.09032029180452662
ACTB	S100A4	0.08960497065117519
CD3E	CD3D	0.08920187709183668
TMSB4X	S100A4	0.08879026705224444
TMSB10	ACTB	0.0886141376656534
HLA-DQA1	CST7	0.0856842802083158
S100A10	TMSB10	0.08442744579023156
IL32	CD52	0.08424563109579197
LAIR2	TRBV4-1	0.08256276757383148
IL22	CD69	0.08244299370599208
TMSB10	TMSB4X	0.07978911712710589
NBAS	LAIR2	0.07826357973109714
IL32	GNLY	0.07826068803077287
IL32	CD3D	0.07759434816624868
IL32	ALOX5AP	0.07628296141130869
PTPRCAP	CD3E	0.07616274047635617
IL32	SEPT1	0.07591566134509387
BATF	NBAS	0.07476510166957763
PTPRCAP	IL32	0.07476053968558048
NBAS	BATF	0.0735284314616019
HLA-DPA1	CST7	0.07337792421324836
IL32	TRBV4-1	0.07208270196962774
CD40LG	IL22	0.07199308925888488
CST7	CCL5	0.07105886923348498
LAIR2	CD82	0.07090565193266299
CD3D	CD3E	0.07076418970886682
LAIR2	NBAS	0.07030603180081366
S100A4	TMSB4X	0.070190650339699
TRBV4-1	TIGIT	0.07013066522911734
TRBV4-1	TRAV8-2	0.06994345457461418
CD74	SRGN	0.06969888424660672
SRGN	SAMSN1	0.06934489793656237
TMSB10	S100A4	0.06933707887347847
IL32	SKAP1	0.06923642493626586
TRAV8-3	TRBV4-1	0.06895553980804094
PTPRCAP	ALOX5AP	0.06879883624123526
LAIR2	TNFRSF18	0.06831449879507843
IL32	ITM2A	0.0682392504104734
IL32	IL2RG	0.06820894555788692
HLA-DRB1	SRGN	0.0679112460756642
TRBV4-1	IL32	0.06788947216383519
ACTB	S100A10	0.06785037158731831
CD3E	CD3G	0.06779582962987314
IL32	S100A4	0.06732217157828384
ACTB	SRGN	0.06705130146156602
TRBV4-1	LAIR2	0.06675301382822506
BIRC3	SAMSN1	0.06673197545153328
IL22	RGS1	0.06650741904486128
IL32	LAT	0.06643983961232014
TRBV4-1	CXCR3	0.06607488964676449
TRBV4-1	CD82	0.06586250014603798
BATF	LAIR2	0.06523392784057387
IL32	TMSB4X	0.06519478200160597
CD3E	IL32	0.06487538250766535
CD3E	LAT	0.06467923856821657
IL32	CD82	0.06456778933565165
IL22	BATF	0.06441565712773431
IL32	ZAP70	0.06427260831389547
CD74	S100A10	0.06418492198645363
PTPRCAP	CD3D	0.06374164339582641
BATF	PGM2L1	0.06347971322298367
CD3E	PTPRCAP	0.0633697371277514
RGS1	DUSP2	0.06311853388656151
RGS1	CXCR4	0.06223954835785334
PTPRCAP	CD52	0.06183134955199843
IL32	ACTB	0.061753597400662996
CD3E	CD52	0.06162761669774843
S100A4	TMSB10	0.06157903943383184
TRBV4-1	PTPRCAP	0.06087061709780409
LAIR2	IL32	0.06037199614000223
CD74	TMSB10	0.059976309383708966
IL32	SLC9A3R1	0.05992658837358994
CD3D	CD3G	0.059836876429457286
TSPAN13	TRBV4-1	0.05946551459801859
CD69	IL22	0.059157463213901675
IL32	CXCR3	0.05879262310302572
SAMSN1	BIRC3	0.058414640619570676
CD3E	EVL	0.05799149294412751
PTPRCAP	SKAP1	0.057922434247631036
LAIR2	PGM2L1	0.05783141536088082
S100A4	ACTB	0.057624283872938074
HSPA8	PTGER4	0.05759230568297859
SLC9A3R1	GIMAP7	0.05751906459047967
SRGN	BIRC3	0.05721008532034101
SLC9A3R1	C12orf75	0.05713861030138987
IL32	TNFRSF25	0.05706577335148101
HLA-DRB1	S100A10	0.0570093332197906
IL32	GATA3	0.05700137874721058
TRBV4-1	TSPAN13	0.056843236952223694
PTPRCAP	TRAV8-3	0.05663616896089112
PTPRCAP	ZAP70	0.05646054467413091
GNLY	KLRB1	0.05636588046055584
IL32	TRAV8-3	0.056207775388664456
CD3E	SKAP1	0.0561831420393886
TMSB4X	S100A10	0.05605983264902423
PTPRCAP	EVL	0.05603958790474409
PTPRCAP	KLRB1	0.05556402488911215
IL22	LAIR2	0.05546368356378703
CD3E	SEPT1	0.055185738634213326
CD3E	CD2	0.055153832223312625
IL32	TOX	0.05499688480624227
CD74	CST7	0.054928022871164627
BIRC3	SRGN	0.054921511932068304
DUSP2	CXCR4	0.054567964850989005
TRBV4-1	TOX	0.05408513383055856
LAIR2	BATF	0.053981198929454084
DUSP2	RGS1	0.05397140290067131
RGS1	BIRC3	0.05395178482789397
IL32	GZMM	0.05385636922042059
BATF	RHOH	0.053300761433543085
IL22	PTGER4	0.052934556645440584
GZMA	CD247	0.052720128199307936
BATF	TSPAN13	0.05267552068709541
CD82	TNFRSF25	0.05262780629657032
HSPA8	RGS1	0.05258299452835855
PTPRCAP	SEPT1	0.05254911372644664
CD3D	CD2	0.05245324736026883
HLA-DQA1	S100A10	0.05235896415897668
RGS1	DDIT4	0.05235408795780295
SAMSN1	SRGN	0.05227268659672521
IL32	HSPA8	0.05221495877694899
DUSP2	DDIT4	0.05214464861905438
CST7	HLA-DQA1	0.05199606082956826
TMSB4X	IL32	0.051942869736862705
HSPA8	RHOH	0.05185827081313261
IL22	NBAS	0.05146295576627519
IL32	SIT1	0.05143103334580352
IL22	TRBV4-1	0.05108443729609528
HLA-DRB5	TMSB10	0.05097871049234685
