TF	target	importance
HLA-DPA1	CD74	247.30792552334384
HLA-DRB5	CD74	226.78358029624485
HLA-DPA1	HLA-DRB5	211.4389284396149
CD74	HLA-DPA1	209.85675977005047
HLA-DQA1	CD74	208.10423605914966
S100A4	S100A10	202.69121200294427
HLA-DRB5	HLA-DRB1	200.4428897877435
HLA-DRB1	HLA-DRB5	197.08355792411857
HLA-DRB1	CD74	193.05773146449363
HLA-DQA1	HLA-DRB1	190.33200447303423
CD74	HLA-DRB5	189.5018711641828
HLA-DQA1	HLA-DRB5	179.04999875085974
ACTB	TMSB10	157.54356084870219
TMSB10	S100A10	152.7154306109717
HLA-DQA1	HLA-DPA1	143.18406928995284
HLA-DPA1	HLA-DRB1	142.42134593652534
CD74	HLA-DRB1	142.06861039770087
HLA-DPA1	HLA-DQA1	141.9706667012065
ACTB	S100A4	139.3665333854028
S100A10	S100A4	133.1548345912358
TMSB4X	TMSB10	128.44528856705776
HLA-DRB5	HLA-DQA1	126.65917667532526
CD74	HLA-DQA1	119.98940771279881
HLA-DRB5	HLA-DPA1	119.4361503093143
GZMA	CCL5	116.47373859043131
CCL5	GZMA	109.5809786040502
HLA-DRB1	HLA-DQA1	108.46427270553055
TNFRSF4	TNFRSF18	104.97135967229457
HLA-DRB1	HLA-DPA1	104.66354814242209
S100A10	TMSB10	99.64610348985603
TMSB4X	ACTB	96.75409019042291
TMSB4X	S100A4	96.72725654802522
HLA-DQA1	CST7	96.63329294421999
HLA-DRB1	S100A10	92.33175188494506
ACTB	TMSB4X	88.63252337638463
TNFRSF18	TNFRSF4	86.48980188246057
IL32	S100A4	83.54968255936905
S100A4	TMSB10	82.5524874248586
BIRC3	SAMSN1	77.82304391152806
HLA-DQA1	S100A10	76.90381650823508
SRGN	SAMSN1	76.87134750960622
TMSB10	ACTB	76.55855837388498
TMSB10	TMSB4X	73.39635064418466
TMSB4X	S100A10	73.2213481342323
CD3D	CD3E	72.2756183210112
IL32	CD52	71.44030542558478
TMSB10	S100A4	71.37053103782453
PTPRCAP	CD3E	70.40406010618236
SAMSN1	SRGN	69.71915187618593
HLA-DPA1	S100A10	68.71909938406444
CD74	S100A10	68.3103857845843
BIRC3	SRGN	67.44953357923059
IL22	CD40LG	67.32879899649099
ACTB	S100A10	66.87408838256026
RGS1	CXCR4	65.48309443814416
IL22	CD69	63.263935990617675
IL32	TMSB4X	62.70497328552595
IL22	RGS1	62.151250380981594
PTPRCAP	ALOX5AP	61.11294957369784
DUSP2	CXCR4	60.365846382612254
CST7	CCL5	59.35747570072119
ACTB	CD74	58.65286333392581
GZMA	CD247	57.74322631494204
SLC9A3R1	C12orf75	57.12542463417348
SLC9A3R1	GIMAP7	56.723296647899765
BATF	LAIR2	56.37937050753822
NBAS	LAIR2	55.735268577452246
CD3E	CD52	55.73472037130642
IL32	PTPRCAP	55.313639859398585
TMSB10	CD74	55.25968897182674
SAMSN1	BIRC3	54.805237844363795
HLA-DPA1	CST7	54.76707359610224
HLA-DRB5	S100A10	53.88382060482764
HLA-DRB1	SRGN	53.60720251753772
PTPRCAP	CD3D	53.56450710521524
HLA-DPA1	TMSB10	53.230898757979006
SLC9A3R1	RARRES3	53.17118331021452
HLA-DRB5	TMSB10	52.93978249691623
ACTB	SRGN	52.30055829315805
CD74	SRGN	51.75858356351462
CD74	TMSB10	51.43009666626589
IL32	GNLY	50.51300437089179
IL32	CD3E	50.388861820135176
DDIT4	DUSP2	50.188634458043744
S100A4	ACTB	50.05737689210207
BATF	NBAS	49.26526663953987
CD3E	PTPRCAP	49.17457174921062
SRGN	BIRC3	49.15051272116776
TRBV4-1	CD3E	49.06667521012801
DUSP2	DDIT4	49.00008936489056
CD3E	EVL	48.850154764288575
CD74	CST7	48.396924632980756
TRBV4-1	TRAV8-2	48.276443070524735
SLC9A3R1	SELL	48.046553642704495
CCL5	CST7	48.002707860209
RGS1	DUSP2	47.94720964258933
CD52	IL7R	47.884299595642
ZFP36L2	CXCR4	47.81696158874622
CD3E	CD3D	47.64146372307974
LCK	CD3G	47.453399016838915
S100A10	CD74	47.137730928020176
CST7	IL7R	46.745001378120776
TRAV8-3	TRBV4-1	46.701539099163085
CD3E	CD3G	46.41052729601383
ALOX5AP	S100A4	46.36794712655604
CD40LG	IL22	46.02108503191808
CXCR4	ZFP36L2	45.37610451582127
IL32	ALOX5AP	45.31581109472307
PTPRCAP	IL32	45.127558944849
LAIR2	IL32	45.11414590217379
IL32	SEPT1	45.06408678931438
LAIR2	TNFRSF18	44.81955366401403
IL22	HSPA8	44.491666634658266
TRBV4-1	TRAV8-3	44.296451754457806
GIMAP7	SELL	44.28204808446381
NBAS	BATF	43.91924673799674
TMSB10	HLA-DRB5	43.71432686813437
LCK	ISG20	43.61499798934072
HLA-DRB1	TMSB10	43.414919005478254
HLA-DQA1	SRGN	43.18492021051031
IL32	SLC9A3R1	42.81513427280021
CD247	GZMA	42.69747548757399
EVL	CD52	42.65834251704398
PTPRCAP	ZAP70	42.63961694916926
PTPRCAP	KLRB1	42.29594770269279
SLC9A3R1	KIAA1551	42.14622887214679
TRBV4-1	PTPRCAP	41.46723579804528
HLA-DRB5	SRGN	41.30923500070982
GIMAP7	SLC9A3R1	41.103777190694046
HLA-DQA1	DUSP2	41.07511859955694
