Parent	Type	Child	Weight	Probability	Score
ACTB	+	ACTB	21.479661	0.000000	NaN
TIGIT	-	ACTB	-53.416051	0.000000	NaN
BIRC3	+	ACTB	171.652480	0.000000	NaN
SLAMF1	+	ACTB	82.657343	0.000000	NaN
CST7	+	ACTB	44.013911	0.000000	NaN
SAMSN1	+	ACTB	243.000859	0.000000	NaN
HLA-DQA1	+	ACTB	88.381063	0.000000	NaN
TMSB4X	+	ACTB	55.428228	0.000000	NaN
TRBV4-1	-	ACTB	-12.343004	0.000000	NaN
PTGER4	+	ACTB	35.721448	0.000000	NaN
RHOH	-	ACTB	-148.941690	0.000000	NaN
SH2D1A	-	ACTB	-100.744462	0.000000	NaN
NBAS	+	ACTB	2.538252	0.000000	NaN
CD3E	+	ACTB	9.597456	0.000000	NaN
ALOX5AP	+	ACTB	15.748030	0.000000	NaN
SKAP1	-	ACTB	-49.012994	0.000000	NaN
LIME1	-	ACTB	-77.986828	0.000000	NaN
TNFRSF4	+	ACTB	20.646537	0.000000	NaN
SEPT1	+	ACTB	11.666197	0.000000	NaN
TMC8	+	ACTB	116.734750	0.000000	NaN
HLA-DPA1	+	ACTB	79.058767	0.000000	NaN
IL2RG	+	ACTB	191.993943	0.000000	NaN
GNLY	-	ACTB	-1.392066	0.000000	NaN
CD3G	-	ACTB	-113.331922	0.000000	NaN
PTPN7	+	ACTB	48.228396	0.000000	NaN
SIT1	-	ACTB	-26.754949	0.000000	NaN
ZFP36L2	+	ACTB	296.545804	0.000000	NaN
TMSB10	+	ACTB	201.172619	0.000000	NaN
IKZF3	-	ACTB	-52.762409	0.000000	NaN
ITM2A	-	ACTB	-55.024871	0.000000	NaN
TAGAP	+	ACTB	232.175928	0.000000	NaN
S100A10	+	ACTB	388.943677	0.000000	NaN
TRAC	+	ACTB	96.115408	0.000000	NaN
C12orf75	+	ACTB	98.878957	0.000000	NaN
CD96	+	ACTB	35.557866	0.000000	NaN
SLC9A3R1	-	ACTB	-71.159476	0.000000	NaN
DUSP2	+	ACTB	209.344317	0.000000	NaN
SELL	+	ACTB	154.469553	0.000000	NaN
TRBC1	+	ACTB	144.918642	0.000000	NaN
HLA-DRB5	+	ACTB	169.632146	0.000000	NaN
CXCR4	+	ACTB	29.950256	0.000000	NaN
SRGN	+	ACTB	403.978351	0.000000	NaN
RASAL3	+	ACTB	88.995609	0.000000	NaN
LAT	-	ACTB	-89.747334	0.000000	NaN
CD2	-	ACTB	-34.055835	0.000000	NaN
IL7R	+	ACTB	165.231718	0.000000	NaN
SYTL1	+	ACTB	106.269650	0.000000	NaN
S100A4	+	ACTB	258.902118	0.000000	NaN
CD40LG	-	ACTB	-15.037132	0.000000	NaN
PTPRCAP	-	ACTB	-6.827571	0.000000	NaN
LTB	+	ACTB	12.387313	0.000000	NaN
GATA3	-	ACTB	-100.567235	0.000000	NaN
LCK	-	ACTB	-84.318195	0.000000	NaN
BATF	+	ACTB	50.352518	0.000000	NaN
TRBC2	+	ACTB	9.401233	0.000000	NaN
GZMA	-	ACTB	-18.108237	0.000000	NaN
TNFRSF25	-	ACTB	-46.237325	0.000000	NaN
KIAA1551	+	ACTB	129.094143	0.000000	NaN
CXCR3	-	ACTB	-29.719259	0.000000	NaN
DDIT4	+	ACTB	154.173311	0.000000	NaN
TC2N	-	ACTB	-19.943979	0.000000	NaN
GZMM	-	ACTB	-38.830575	0.000000	NaN
SH2D2A	-	ACTB	-83.964951	0.000000	NaN
ITK	+	ACTB	94.008594	0.000000	NaN
HLA-DRB1	+	ACTB	102.718020	0.000000	NaN
TSPAN13	+	ACTB	0.154766	0.000000	NaN
RGS1	-	ACTB	-21.813778	0.000000	NaN
APOBEC3G	+	ACTB	52.358823	0.000000	NaN
PIM2	+	ACTB	33.743272	0.000000	NaN
TUBA4A	+	ACTB	74.736246	0.000000	NaN
RARRES3	+	ACTB	146.261658	0.000000	NaN
TCF7	-	ACTB	-26.798518	0.000000	NaN
KLRB1	-	ACTB	-52.500518	0.000000	NaN
GIMAP7	+	ACTB	355.965508	0.000000	NaN
CD247	+	ACTB	37.878071	0.000000	NaN
PGM2L1	+	ACTB	79.528588	0.000000	NaN
CD3D	-	ACTB	-12.465364	0.000000	NaN
IL22	-	ACTB	-0.834272	0.000000	NaN
CCL5	+	ACTB	0.473829	0.000000	NaN
CLEC2D	+	ACTB	64.353640	0.000000	NaN
CAMK4	-	ACTB	-2.676470	0.000000	NaN
TRAV8-2	+	ACTB	109.626556	0.000000	NaN
CD74	+	ACTB	36.009942	0.000000	NaN
CD28	-	ACTB	-59.225948	0.000000	NaN
TNFRSF18	+	ACTB	72.133227	0.000000	NaN
CD52	+	ACTB	177.922307	0.000000	NaN
IL32	-	ACTB	-2.331774	0.000000	NaN
TRAV8-3	-	ACTB	-86.581439	0.000000	NaN
ZAP70	-	ACTB	-6.350741	0.000000	NaN
ISG20	+	ACTB	79.829451	0.000000	NaN
CD69	-	ACTB	-14.386759	0.000000	NaN
SLC38A1	+	ACTB	7.413216	0.000000	NaN
LY9	-	ACTB	-121.861116	0.000000	NaN
HSPA8	+	ACTB	23.993600	0.000000	NaN
EVL	-	ACTB	-35.125776	0.000000	NaN
TOX	-	ACTB	-111.745130	0.000000	NaN
TRAT1	+	ACTB	20.099335	0.000000	NaN
LAIR2	+	ACTB	2.707575	0.000000	NaN
CD82	-	ACTB	-21.690522	0.000000	NaN
ACTB	-	TIGIT	-0.016290	0.000000	NaN
TIGIT	-	TIGIT	-0.304517	0.000000	NaN
BIRC3	-	TIGIT	-0.079143	0.000000	NaN
SLAMF1	+	TIGIT	1.241833	0.000000	NaN
CST7	-	TIGIT	-0.122874	0.000000	NaN
SAMSN1	-	TIGIT	-0.277190	0.000000	NaN
HLA-DQA1	+	TIGIT	0.002238	0.000000	NaN
TMSB4X	-	TIGIT	-0.019094	0.000000	NaN
TRBV4-1	+	TIGIT	0.018369	0.000000	NaN
PTGER4	+	TIGIT	0.290775	0.000000	NaN
