Gene1	Gene2	corVal	pValue
ACTB	ACTB	1	0
TIGIT	TIGIT	1	0
BIRC3	BIRC3	1	0
SLAMF1	SLAMF1	1	0
CST7	CST7	1	0
SAMSN1	SAMSN1	1	0
HLA-DQA1	HLA-DQA1	1	0
TMSB4X	TMSB4X	1	0
TRBV4-1	TRBV4-1	1	0
PTGER4	PTGER4	1	0
RHOH	RHOH	1	0
SH2D1A	SH2D1A	1	0
NBAS	NBAS	1	0
CD3E	CD3E	1	0
ALOX5AP	ALOX5AP	1	0
SKAP1	SKAP1	1	0
LIME1	LIME1	1	0
TNFRSF4	TNFRSF4	1	0
SEPT1	SEPT1	1	0
TMC8	TMC8	1	0
HLA-DPA1	HLA-DPA1	1	0
IL2RG	IL2RG	1	0
GNLY	GNLY	1	0
CD3G	CD3G	1	0
PTPN7	PTPN7	1	0
SIT1	SIT1	1	0
ZFP36L2	ZFP36L2	1	0
TMSB10	TMSB10	1	0
IKZF3	IKZF3	1	0
ITM2A	ITM2A	1	0
TAGAP	TAGAP	1	0
S100A10	S100A10	1	0
TRAC	TRAC	1	0
C12orf75	C12orf75	1	0
CD96	CD96	1	0
SLC9A3R1	SLC9A3R1	1	0
DUSP2	DUSP2	1	0
SELL	SELL	1	0
TRBC1	TRBC1	1	0
HLA-DRB5	HLA-DRB5	1	0
CXCR4	CXCR4	1	0
SRGN	SRGN	1	0
RASAL3	RASAL3	1	0
LAT	LAT	1	0
CD2	CD2	1	0
IL7R	IL7R	1	0
SYTL1	SYTL1	1	0
S100A4	S100A4	1	0
CD40LG	CD40LG	1	0
PTPRCAP	PTPRCAP	1	0
LTB	LTB	1	0
GATA3	GATA3	1	0
LCK	LCK	1	0
BATF	BATF	1	0
TRBC2	TRBC2	1	0
GZMA	GZMA	1	0
TNFRSF25	TNFRSF25	1	0
KIAA1551	KIAA1551	1	0
CXCR3	CXCR3	1	0
DDIT4	DDIT4	1	0
TC2N	TC2N	1	0
GZMM	GZMM	1	0
SH2D2A	SH2D2A	1	0
ITK	ITK	1	0
HLA-DRB1	HLA-DRB1	1	0
TSPAN13	TSPAN13	1	0
RGS1	RGS1	1	0
APOBEC3G	APOBEC3G	1	0
PIM2	PIM2	1	0
TUBA4A	TUBA4A	1	0
RARRES3	RARRES3	1	0
TCF7	TCF7	1	0
KLRB1	KLRB1	1	0
GIMAP7	GIMAP7	1	0
CD247	CD247	1	0
PGM2L1	PGM2L1	1	0
CD3D	CD3D	1	0
IL22	IL22	1	0
CCL5	CCL5	1	0
CLEC2D	CLEC2D	1	0
CAMK4	CAMK4	1	0
TRAV8-2	TRAV8-2	1	0
CD74	CD74	1	0
CD28	CD28	1	0
TNFRSF18	TNFRSF18	1	0
CD52	CD52	1	0
IL32	IL32	1	0
TRAV8-3	TRAV8-3	1	0
ZAP70	ZAP70	1	0
ISG20	ISG20	1	0
CD69	CD69	1	0
SLC38A1	SLC38A1	1	0
LY9	LY9	1	0
HSPA8	HSPA8	1	0
EVL	EVL	1	0
TOX	TOX	1	0
TRAT1	TRAT1	1	0
LAIR2	LAIR2	1	0
CD82	CD82	1	0
S100A4	S100A10	0.370048990313052	1.82948989179134e-278
S100A10	S100A4	0.370048990313052	1.82948989179217e-278
TMSB4X	TMSB10	0.351673499841794	7.4921198854824e-250
TMSB10	TMSB4X	0.351673499841794	7.49211988548666e-250
CD74	HLA-DRB1	0.351102506870252	5.41537795433191e-249
HLA-DRB1	CD74	0.351102506870251	5.41537795434425e-249
HLA-DRB5	CD74	0.318931925584622	2.0567687962538e-203
CD74	HLA-DRB5	0.318931925584622	2.05676879625416e-203
TMSB10	S100A10	0.287630691031479	3.73170989541614e-164
S100A10	TMSB10	0.287630691031478	3.73170989542316e-164
CD3D	CD3E	0.274243120591893	8.02936194235103e-149
CD3E	CD3D	0.274243120591893	8.02936194235881e-149
HLA-DRB5	HLA-DRB1	0.269150946423825	3.26691616601093e-143
HLA-DRB1	HLA-DRB5	0.269150946423825	3.26691616601577e-143
HLA-DPA1	CD74	0.267234359758646	3.92654106071564e-141
CD74	HLA-DPA1	0.267234359758646	3.92654106071698e-141
TNFRSF18	TNFRSF4	0.254643939863787	6.83286786675169e-128
TNFRSF4	TNFRSF18	0.254643939863787	6.83286786675286e-128
ACTB	TMSB4X	0.248467521474487	1.16098815610163e-121
TMSB4X	ACTB	0.248467521474487	1.1609881561017e-121
HSPA8	ACTB	0.232153771509158	4.97218923129148e-106
ACTB	HSPA8	0.232153771509158	4.97218923129204e-106
S100A4	CD52	0.222247602483322	4.11535600376448e-97
CD52	S100A4	0.222247602483322	4.11535600376706e-97
TRBV4-1	TRAV8-3	0.222207976552538	4.45881729190671e-97
TRAV8-3	TRBV4-1	0.222207976552538	4.45881729190861e-97
HLA-DQA1	CD74	0.222002652044685	6.75293514577541e-97
CD74	HLA-DQA1	0.222002652044684	6.75293514578853e-97
HLA-DQA1	HLA-DPA1	0.215309283894345	4.03830928447525e-91
HLA-DPA1	HLA-DQA1	0.215309283894345	4.03830928448068e-91
ACTB	S100A4	0.203117596834631	4.30337970232806e-81
S100A4	ACTB	0.20311759683463	4.30337970233249e-81
SRGN	SAMSN1	0.196911552969081	3.13130335992169e-76
SAMSN1	SRGN	0.196911552969081	3.13130335992205e-76
