TF	target	importance
IGKV1-33	IGKV1D-33	0.49424158872936663
IGKV1D-33	IGKV1-33	0.4906656775524662
IGHA1	IGHV4-39	0.39898735137111735
JCHAIN	IGKV2D-28	0.3111691157992595
JCHAIN	IGLV2-11	0.3059201906601092
IGHG2	IGHG3	0.30364792572574484
IGHG2	IGKV1-9	0.30124433351332675
IGHG3	IGHG2	0.2907412839118329
IGKV3-20	IGHV4-59	0.2885289858247964
IGKV1-9	IGHV3-48	0.25532812945442807
IGHG2	IGHV3-64D	0.25450852943956015
IGKV1-33	IGHV3-64D	0.24815033919357743
IGHG3	IGHGP	0.22522934578762754
IGHV3-48	IGKV1-9	0.22349818274368988
IGHV4-59	IGKV3-20	0.2198530888233032
IGHG3	IGKV2D-29	0.21636528508936653
IGHGP	IGKV2D-29	0.21401224081371437
IGKV1D-33	IGHV3-64D	0.21381911554233257
IGHGP	IGHV5-10-1	0.2091872202491517
IGHA1	IGKV3-20	0.20878915134687515
JCHAIN	IGHA1	0.1959368749384617
IGHGP	IGHG3	0.19147045986216588
IGHA1	JCHAIN	0.18163395991616538
IGLV2-11	IGHV4-39	0.1790699799849523
JCHAIN	IGHV3-48	0.1786664117260671
IGHV4-61	IGHGP	0.1781180712952462
IGHG2	IGHA1	0.17741173844077618
IGHV4-59	IGHV4-61	0.17614201938071544
TPSAB1	PPBP	0.16815192259573236
IGHA1	IGLV2-11	0.16776407594538936
IGHV4-39	IGLV2-11	0.1668675862141078
IGKV3-20	TPSAB1	0.16254533711840832
JCHAIN	IGHV4-39	0.15671302188579944
JCHAIN	IGKV1-9	0.1566657606897845
IGHG3	IGHV5-10-1	0.15431706537842027
IGHV4-61	IGHV4-59	0.1537933671891895
IGHG2	IGKV2D-29	0.15199824291320033
IGKV3-20	PPBP	0.15186702083966408
IGHG3	IGHV3-64D	0.15112201269639672
IGHGP	IGHV4-61	0.14941474258200216
IGKV1-33	IGHV3-48	0.1458542515360179
IGHG2	IGKV1-33	0.1434957669110884
IGHGP	IGKV2D-28	0.14150124577937823
IGKV3-20	IGHV5-10-1	0.14040087528815048
IGHG2	IGKV1D-33	0.13779797350672152
