TF	target	importance
IGHG2	IGHG3	82.27418362333209
IGKV1D-33	IGKV1-33	76.49271321655677
IGHGP	IGHG3	71.0126104652724
IGKV1-33	IGKV1D-33	65.94105947739352
IGKV2D-29	IGHG3	54.704499676876075
IGHV4-61	IGHG3	48.62903319738082
JCHAIN	IGHV4-59	43.99815832307487
IGHV4-39	IGHV4-61	40.785150073866305
IGHG3	IGHG2	40.53474046631397
IGHGP	IGHV4-61	40.41113340563706
IGKV1-33	IGHG2	37.391275556173035
IGHV4-59	IGHV4-61	35.46371556312341
IGHV3-64D	IGHG2	35.11658013179878
JCHAIN	IGHV4-61	32.31886288167995
IGKV1D-33	IGHG2	32.0120363284039
IGHV4-61	IGHV4-59	30.653233481972816
IGHGP	IGHG2	30.643213429305273
IGHG2	IGHV4-61	30.58420863768429
IGHG2	IGKV1D-33	30.081037714223537
IGHG2	IGKV1-33	28.47138850738314
IGHV3-64D	IGKV1D-33	25.96054125087494
IGHG3	IGHV4-61	25.924125201450913
IGKV1D-33	IGHG3	25.466855932990036
IGKV2D-29	IGHV4-61	25.188861562513715
IGHG3	IGKV1-33	22.308010914554544
IGKV3-20	IGHV5-10-1	20.589632811813463
IGHV4-39	IGHV4-59	19.14154455552785
IGKV1-33	IGHG3	19.111336867094085
IGHG3	IGKV1D-33	18.909322900489833
IGKV3-20	IGHV4-59	16.199909704351214
IGHV4-59	JCHAIN	15.968315518276931
JCHAIN	IGHA1	15.469081553001722
IGHV4-61	IGHG2	15.016010392542878
IGHV3-64D	IGKV1-33	14.486809741649008
IGHA1	IGLV2-11	13.766907789748057
IGHG2	IGHV4-59	13.684744577322151
IGHA1	IGHV4-61	13.630346677283368
IGHGP	IGHV4-59	13.606889763605022
IGLV2-11	IGHV4-61	13.50028746943294
IGKV1-9	IGHV3-48	13.372995903732141
IGKV2D-29	IGHG2	12.631658499375318
IGKV2D-28	IGHG3	12.628292666492356
IGHV4-61	JCHAIN	12.497760672243363
IGHG3	IGHV4-59	12.398785288027554
IGLV2-11	IGHV4-39	12.26270746170089
IGHGP	IGKV1D-33	12.034267898407101
IGKV1-9	IGKV1D-33	11.777367127133688
IGHV4-39	IGLV2-11	11.460287141101809
IGHV4-61	IGLV2-11	11.422284365235262
IGHV3-64D	IGHG3	11.27494094785196
IGKV1-9	IGKV1-33	11.092131662163988
IGHG3	IGHV5-10-1	10.734970258417706
IGHV4-39	IGHG3	10.666584917380701
IGKV1-9	IGHG2	10.373565184357556
IGLV2-11	IGHA1	10.003306596211537
IGHGP	IGKV1-33	9.869715364900305
IGHV3-48	JCHAIN	9.78428607968641
IGHA1	IGKV3-20	9.633465529401256
JCHAIN	IGKV1-9	9.121012933098704
IGHA1	JCHAIN	9.076183089633318
IGHGP	JCHAIN	8.860543582481071
IGHG3	IGKV2D-28	8.71151416889478
IGHV4-39	JCHAIN	8.54535747405182
JCHAIN	IGHG3	8.516718098974385
IGHA1	IGHG3	8.512796400177596
IGKV1D-33	IGHV4-59	8.323842084817892
IGHA1	IGKV1-9	7.3535582434172975
IGKV1-9	IGHG3	7.301643896269239
IGHGP	IGKV2D-29	7.188984265434874
IGHV5-10-1	IGHG3	6.993570566498221
IGHV4-39	IGHA1	6.888118778270925
IGHG3	IGKV2D-29	6.675246515390229
IGHG2	IGKV2D-29	6.501906423403844
JCHAIN	IGLV2-11	6.4447417131093925
IGKV3-20	IGHG3	6.396944635640797
IGHV3-48	IGKV1-33	6.369256419696809
IGHV4-59	IGKV3-20	6.248281849593516
IGHG2	JCHAIN	6.205949131205043
IGKV1-33	IGHV4-61	6.033125213438309
IGLV2-11	JCHAIN	5.956328674490269
IGKV1-33	IGHV4-59	5.95501564611145
IGKV1D-33	IGHV3-64D	5.927854719008452
IGHV4-59	IGHG3	5.898433413429301
IGHV3-48	IGKV1-9	5.837478395857632
IGHGP	IGKV2D-28	5.794636101125121
IGKV2D-29	IGHGP	5.775999315560903
IGKV1-9	IGHV5-10-1	5.683047280014174
IGKV1D-33	IGHV4-61	5.508427029170158
IGHG3	IGHV3-64D	5.424302518999033
IGHG2	IGHGP	5.403026625885839
JCHAIN	IGHV3-48	5.174365804046572
IGHG3	IGHGP	4.949127057113816
IGKV1-9	JCHAIN	4.815304749178943
IGHV4-59	IGKV1-33	4.788233835336418
IGHV4-61	IGKV1D-33	4.7623984190877096
IGHA1	TPSAB1	4.71287937017944
IGHV3-48	IGHA1	4.687138495075545
JCHAIN	IGHV4-39	4.613841606463584
IGKV1-33	IGHV3-64D	4.549352692597932
IGHV4-61	IGHV4-39	4.454459638183886
IGHG2	IGHV3-64D	4.435612182628417
IGHG3	IGKV3-20	4.232887853828819
IGHA1	PPBP	4.136477692643091
IGHGP	IGKV3-20	4.116420508131624
IGKV2D-28	IGHG2	4.030261741873801
IGHV4-61	IGHGP	3.9883628759427854
IGKV2D-28	IGHV4-61	3.9088128725630678
IGKV1-9	IGHA1	3.7853505809954946
IGHGP	IGHA1	3.6919678327776135
JCHAIN	IGKV3-20	3.6882815301136365
IGKV3-20	IGHA1	3.5288776421927213
IGHV4-61	IGKV1-33	3.4346464893241446
IGHV4-61	IGKV2D-28	3.3937298188054306
TPSAB1	PPBP	3.3307113933617605
IGHGP	IGHV5-10-1	3.1498029593360792
IGHV4-59	IGHG2	3.1490284280226417
IGHV3-48	IGKV1D-33	3.1231572012228153
IGHG2	IGHV5-10-1	3.047157953804648
IGHA1	IGHV3-48	3.008081825578551
IGHV4-59	IGKV1D-33	2.977526514975608
IGKV2D-28	IGHV4-59	2.9002185922608725
IGHG3	JCHAIN	2.8941234783495293
JCHAIN	IGHG2	2.8818236457796695
IGKV3-20	TPSAB1	2.827256210078454
IGKV3-20	IGHG2	2.4335682610234466
IGHG2	IGHA1	2.2937272526206542
IGHV4-59	IGHGP	2.263885199657318
JCHAIN	PPBP	2.217138395614922
IGHV5-10-1	IGHG2	2.2130324701244284
IGHG3	TPSAB1	2.1870378651211
IGHG2	IGKV2D-28	2.15362860183625
IGHV4-39	IGKV2D-28	2.095979921997325
IGHA1	IGHV4-59	2.087239152701279
IGKV3-20	JCHAIN	1.9950694339107178
JCHAIN	IGHGP	1.967281448589189
IGKV2D-28	PPBP	1.9630402563443234
IGHV4-39	IGHGP	1.9470697905153198
IGKV1-9	IGHV3-64D	1.9460371518671373
IGKV1D-33	IGLV2-11	1.9227182895459836
IGHV3-48	IGHG3	1.8830536902103128
IGLV2-11	TPSAB1	1.8408914083879764
IGHV5-10-1	TPSAB1	1.771831574068581
IGHG3	IGHA1	1.7542399797015706
IGKV2D-28	TPSAB1	1.7465840907423762
IGHG3	PPBP	1.7315289004144405
IGHG2	PPBP	1.7157593454537274
IGHG3	IGKV1-9	1.65433514603923
IGHA1	IGHV4-39	1.651644556695038
IGHV4-61	IGHA1	1.602896128761817
IGKV3-20	PPBP	1.5735266974783682
IGHA1	IGHG2	1.5396223148536052
JCHAIN	IGKV1-33	1.5159532536831075
