Parent	Type	Child	Weight	Probability	Score
IGKV1-9	-	IGKV1-9	-0.024479	0.135586	-0.011345
IGKV3-20	-	IGKV1-9	-0.002841	0.000811	-0.000008
IGKV1-33	+	IGKV1-9	0.004326	0.077904	0.001152
IGKV1D-33	+	IGKV1-9	0.000445	0.083001	0.000126
IGKV2D-29	+	IGKV1-9	0.031005	0.231433	0.024528
IGKV2D-28	+	IGKV1-9	0.022316	0.104490	0.007971
JCHAIN	+	IGKV1-9	0.075698	0.999978	0.258752
PPBP	+	IGKV1-9	0.000000	0.008874	0.000000
IGHG2	+	IGKV1-9	0.000211	0.039891	0.000029
IGHGP	-	IGKV1-9	-0.021953	0.156321	-0.011731
IGHA1	-	IGKV1-9	-0.020758	0.107608	-0.007635
IGHG3	-	IGKV1-9	-0.000095	0.044894	-0.000015
IGHV3-64D	+	IGKV1-9	0.001097	0.077397	0.000290
IGHV5-10-1	+	IGKV1-9	0.001784	0.010553	0.000064
IGHV4-39	-	IGKV1-9	-0.024959	0.138032	-0.011777
IGHV3-48	-	IGKV1-9	-0.016833	0.070473	-0.004055
IGHV4-59	-	IGKV1-9	-0.023800	0.127584	-0.010379
IGHV4-61	-	IGKV1-9	-0.033560	0.283625	-0.032537
TPSAB1	+	IGKV1-9	0.000000	0.002385	0.000000
IGLV2-11	-	IGKV1-9	-0.009306	0.026103	-0.000830
IGKV1-9	+	IGKV3-20	0.208502	1.000000	0.712718
IGKV3-20	+	IGKV3-20	0.272558	1.000000	0.931680
IGKV1-33	+	IGKV3-20	0.240286	0.999304	0.820795
IGKV1D-33	-	IGKV3-20	-0.141911	0.800463	-0.388298
IGKV2D-29	+	IGKV3-20	0.210503	0.996530	0.717064
IGKV2D-28	+	IGKV3-20	0.026646	0.039499	0.003598
JCHAIN	+	IGKV3-20	0.008695	0.019192	0.000570
PPBP	+	IGKV3-20	0.000000	0.008811	0.000000
IGHG2	+	IGKV3-20	0.083046	0.326287	0.092625
IGHGP	-	IGKV3-20	-0.255027	0.999998	-0.871752
IGHA1	+	IGKV3-20	0.194520	0.000000	0.000000
IGHG3	+	IGKV3-20	0.085627	0.347969	0.101849
IGHV3-64D	-	IGKV3-20	-0.200956	0.994736	-0.683310
IGHV5-10-1	+	IGKV3-20	0.005220	0.012103	0.000216
IGHV4-39	+	IGKV3-20	0.030083	0.062917	0.006470
IGHV3-48	+	IGKV3-20	0.116605	0.851276	0.339310
IGHV4-59	+	IGKV3-20	0.292544	1.000000	1.000000
IGHV4-61	+	IGKV3-20	0.165913	0.000000	0.000000
TPSAB1	+	IGKV3-20	0.067663	0.307791	0.071189
IGLV2-11	+	IGKV3-20	0.029778	0.052861	0.005381
IGKV1-9	+	IGKV1-33	0.016589	0.089196	0.005058
IGKV3-20	+	IGKV1-33	0.002447	0.000811	0.000007
IGKV1-33	-	IGKV1-33	-0.001862	0.073506	-0.000468
IGKV1D-33	+	IGKV1-33	0.000119	0.080906	0.000033
IGKV2D-29	-	IGKV1-33	-0.002036	0.071278	-0.000496
IGKV2D-28	+	IGKV1-33	0.003631	0.011588	0.000144
JCHAIN	-	IGKV1-33	-0.060379	0.999815	-0.206354
PPBP	+	IGKV1-33	0.000000	0.008874	0.000000
IGHG2	-	IGKV1-33	-0.000130	0.036209	-0.000016
IGHGP	+	IGKV1-33	0.008537	0.077064	0.002249
IGHA1	+	IGKV1-33	0.024118	0.194933	0.016071
IGHG3	+	IGKV1-33	0.000896	0.038061	0.000117
IGHV3-64D	-	IGKV1-33	-0.000913	0.075774	-0.000236
IGHV5-10-1	-	IGKV1-33	-0.000979	0.010064	-0.000034
IGHV4-39	+	IGKV1-33	0.128578	1.000000	0.439518
IGHV3-48	+	IGKV1-33	0.011802	0.050112	0.002022
IGHV4-59	+	IGKV1-33	0.013992	0.064329	0.003077
IGHV4-61	-	IGKV1-33	-0.005917	0.032641	-0.000660
TPSAB1	+	IGKV1-33	0.000000	0.002385	0.000000
IGLV2-11	+	IGKV1-33	0.028911	0.269374	0.026621
IGKV1-9	+	IGKV1D-33	0.013065	0.063897	0.002854
IGKV3-20	+	IGKV1D-33	0.002006	0.000597	0.000004
IGKV1-33	-	IGKV1D-33	-0.004076	0.080733	-0.001125
IGKV1D-33	-	IGKV1D-33	-0.003153	0.087565	-0.000944
IGKV2D-29	-	IGKV1D-33	-0.002082	0.072354	-0.000515
IGKV2D-28	+	IGKV1D-33	0.002388	0.010361	0.000085
JCHAIN	-	IGKV1D-33	-0.047087	0.974747	-0.156893
PPBP	+	IGKV1D-33	0.000000	0.008874	0.000000
IGHG2	+	IGKV1D-33	0.001813	0.038118	0.000236
IGHGP	+	IGKV1D-33	0.008861	0.081102	0.002457
IGHA1	+	IGKV1D-33	0.015239	0.085156	0.004436
IGHG3	+	IGKV1D-33	0.002067	0.039880	0.000282
IGHV3-64D	+	IGKV1D-33	0.000673	0.076772	0.000177
IGHV5-10-1	-	IGKV1D-33	-0.000998	0.010096	-0.000034
IGHV4-39	+	IGKV1D-33	0.091492	1.000000	0.312745
IGHV3-48	+	IGKV1D-33	0.009765	0.039230	0.001310
IGHV4-59	+	IGKV1D-33	0.013611	0.065738	0.003059
IGHV4-61	-	IGKV1D-33	-0.008437	0.045088	-0.001300
TPSAB1	+	IGKV1D-33	0.000000	0.002385	0.000000
IGLV2-11	+	IGKV1D-33	0.052339	0.987105	0.176602
IGKV1-9	+	IGKV2D-29	0.000000	0.011056	0.000000
IGKV3-20	+	IGKV2D-29	0.000000	0.000160	0.000000
IGKV1-33	+	IGKV2D-29	0.000000	0.070786	0.000000
IGKV1D-33	+	IGKV2D-29	0.000000	0.079142	0.000000
IGKV2D-29	+	IGKV2D-29	0.000000	0.065020	0.000000
IGKV2D-28	+	IGKV2D-29	0.000000	0.009166	0.000000
JCHAIN	+	IGKV2D-29	0.000000	0.005645	0.000000
PPBP	+	IGKV2D-29	0.000000	0.008873	0.000000
IGHG2	+	IGKV2D-29	0.000000	0.034158	0.000000
IGHGP	+	IGKV2D-29	0.000000	0.052753	0.000000
IGHA1	+	IGKV2D-29	0.000000	0.003422	0.000000
IGHG3	+	IGKV2D-29	0.000000	0.035258	0.000000
IGHV3-64D	+	IGKV2D-29	0.000000	0.074473	0.000000
IGHV5-10-1	+	IGKV2D-29	0.000000	0.009792	0.000000
IGHV4-39	+	IGKV2D-29	0.000000	0.017690	0.000000
IGHV3-48	+	IGKV2D-29	0.000000	0.009088	0.000000
IGHV4-59	+	IGKV2D-29	0.000000	0.009432	0.000000
IGHV4-61	+	IGKV2D-29	0.000000	0.012460	0.000000
TPSAB1	+	IGKV2D-29	0.000000	0.002377	0.000000
IGLV2-11	+	IGKV2D-29	0.000000	0.005702	0.000000
IGKV1-9	+	IGKV2D-28	0.000194	0.011763	0.000008
IGKV3-20	+	IGKV2D-28	0.059059	1.000000	0.201880
IGKV1-33	-	IGKV2D-28	-0.010456	0.106490	-0.003806
IGKV1D-33	-	IGKV2D-28	-0.003030	0.098422	-0.001020
IGKV2D-29	+	IGKV2D-28	0.065747	0.806567	0.181270
IGKV2D-28	+	IGKV2D-28	0.040089	0.429231	0.058821
JCHAIN	+	IGKV2D-28	0.006001	0.019875	0.000408
PPBP	+	IGKV2D-28	0.000000	0.008874	0.000000
IGHG2	-	IGKV2D-28	-0.008919	0.064468	-0.001966
IGHGP	-	IGKV2D-28	-0.041732	0.406418	-0.057977
IGHA1	-	IGKV2D-28	-0.004228	0.008090	-0.000117
IGHG3	-	IGKV2D-28	-0.002791	0.054301	-0.000518
IGHV3-64D	+	IGKV2D-28	0.014692	0.122731	0.006164
IGHV5-10-1	+	IGKV2D-28	0.001405	0.010808	0.000052
IGHV4-39	+	IGKV2D-28	0.005955	0.030177	0.000614
IGHV3-48	+	IGKV2D-28	0.000241	0.009561	0.000008
IGHV4-59	+	IGKV2D-28	0.094816	1.000000	0.324110
IGHV4-61	-	IGKV2D-28	-0.055659	0.919061	-0.174859
TPSAB1	+	IGKV2D-28	0.000000	0.002384	0.000000
IGLV2-11	+	IGKV2D-28	0.014045	0.052920	0.002541
IGKV1-9	+	JCHAIN	0.009094	0.021664	0.000673
IGKV3-20	+	JCHAIN	0.082234	1.000000	0.281098
IGKV1-33	-	JCHAIN	-0.014525	0.108792	-0.005402
IGKV1D-33	-	JCHAIN	-0.007704	0.104325	-0.002747
IGKV2D-29	+	JCHAIN	0.073262	0.562719	0.140921
IGKV2D-28	+	JCHAIN	0.032602	0.125027	0.013933
JCHAIN	+	JCHAIN	0.014078	0.038290	0.001843
PPBP	+	JCHAIN	0.000000	0.008874	0.000000
IGHG2	-	JCHAIN	-0.007255	0.052612	-0.001305
IGHGP	-	JCHAIN	-0.065166	0.523177	-0.116540
IGHA1	-	JCHAIN	-0.040807	0.241945	-0.033749
IGHG3	-	JCHAIN	-0.002770	0.052969	-0.000502
IGHV3-64D	+	JCHAIN	0.019224	0.117482	0.007720
IGHV5-10-1	+	JCHAIN	0.003540	0.011462	0.000139
IGHV4-39	+	JCHAIN	0.103371	0.995452	0.351746
IGHV3-48	+	JCHAIN	0.006322	0.014543	0.000314
IGHV4-59	+	JCHAIN	0.101593	0.999431	0.347078
IGHV4-61	-	JCHAIN	-0.044698	0.265510	-0.040567
TPSAB1	+	JCHAIN	0.000000	0.002385	0.000000
IGLV2-11	+	JCHAIN	0.059330	0.582704	0.118176
IGKV1-9	+	PPBP	0.000000	0.011056	0.000000
IGKV3-20	+	PPBP	0.000000	0.000160	0.000000
IGKV1-33	+	PPBP	0.000000	0.070786	0.000000
