Gene1	Gene2	Score
IGHV3-64D	IGHV5-10-1	0.999999999999923
IGHV3-64D	IGKV2D-29	0.979368882706992
IGKV2D-29	IGHV5-10-1	0.979368882706835
IGHV4-39	IGHV5-10-1	0.977874754677143
IGHV4-39	IGHV3-64D	0.977874754676604
IGKV1D-33	IGHV5-10-1	0.976876287431993
IGHV3-64D	IGKV1D-33	0.976876287431702
IGKV1D-33	IGHV3-64D	0.976876287431702
IGKV1-33	IGHV5-10-1	0.974124245783107
IGHV3-64D	IGKV1-33	0.974124245782684
IGKV1-33	IGHV3-64D	0.974124245782684
IGLV2-11	IGHV3-64D	0.969106527286598
IGLV2-11	IGHV5-10-1	0.969106527286212
IGKV1-9	IGHV5-10-1	0.961247489320424
IGKV1-9	IGHV3-64D	0.961247489320027
IGHV4-39	IGKV2D-29	0.957690020587364
IGKV1D-33	IGKV2D-29	0.956714852537306
IGHV4-39	IGKV1D-33	0.955251989445982
IGKV1-33	IGKV2D-29	0.954019166878581
IGHV4-39	IGKV1-33	0.952560228131197
IGKV1D-33	IGKV1-33	0.951590616406162
IGKV1-33	IGKV1D-33	0.951590616406162
IGLV2-11	IGKV2D-29	0.949096357044576
IGHV5-10-1	IGHV3-64D	0.947682482571829
IGLV2-11	IGHV4-39	0.947641084907061
IGHV4-39	IGLV2-11	0.947641084907061
IGLV2-11	IGKV1D-33	0.946679814020375
IGLV2-11	IGKV1-33	0.944011800562184
IGKV1-9	IGKV2D-29	0.941395305240801
IGKV1-9	IGHV4-39	0.939949927714747
IGKV1-9	IGKV1D-33	0.938998110569912
IGKV1-9	IGKV1-33	0.936351474530909
IGKV1-9	IGLV2-11	0.931502821159122
IGHV5-10-1	IGKV2D-29	0.928106874004212
IGHV5-10-1	IGHV4-39	0.926680302964725
IGHV5-10-1	IGKV1D-33	0.925743300766858
IGHV5-10-1	IGKV1-33	0.923133797698119
IGHV3-48	IGHV5-10-1	0.921928127554817
IGHV3-48	IGHV3-64D	0.921928127554573
IGHV5-10-1	IGLV2-11	0.918349155870422
IGHV5-10-1	IGKV1-9	0.910887082709698
IGHV4-59	IGHV3-64D	0.904842760857363
IGHV4-59	IGHV5-10-1	0.904842760857302
IGHV3-48	IGKV2D-29	0.902892587638605
IGHV3-48	IGHV4-39	0.90150837858043
IGHV3-48	IGKV1D-33	0.900593715954467
IGHV3-48	IGKV1-33	0.898055617180303
IGHV3-48	IGLV2-11	0.893410971228662
IGHV3-48	IGKV1-9	0.88615649678734
IGKV1-9	IGHV3-48	0.88615649678734
IGHV4-59	IGKV2D-29	0.886149742981425
IGHV4-59	IGHV4-39	0.88478662818552
IGHV4-59	IGKV1D-33	0.883892879851633
IGHG3	IGHGP	0.882324909029099
IGHGP	IGHG3	0.882324909029099
IGHV4-59	IGKV1-33	0.881401198533621
IGHV4-59	IGLV2-11	0.876829983715125
IGHV5-10-1	IGHV3-48	0.873643412698745
IGHV4-59	IGKV1-9	0.869703851182306
IGHG3	IGHG2	0.845276186521771
IGHG2	IGHG3	0.845276186521771
IGHV4-59	IGHV3-48	0.834145578831965
IGHG2	IGHV5-10-1	0.787444704375567
IGHV3-64D	IGHG2	0.787444704374996
IGHG2	IGHV3-64D	0.787444704374996
IGHV3-64D	IGKV3-20	0.779617454893136
IGHV4-39	IGHGP	0.773302684138113
IGHG2	IGKV2D-29	0.771145676551969
IGHV4-39	IGHG2	0.769945488109954
IGHG2	IGKV1D-33	0.769179811052547
IGKV1D-33	IGHG2	0.769179811052547
IGHG2	IGKV1-33	0.767009518767418
IGKV1-33	IGHG2	0.767009518767418
IGKV2D-29	IGKV3-20	0.763498096965305
IGLV2-11	IGHG2	0.762992751018923
IGKV1D-33	IGKV3-20	0.761552796720639
IGKV1-33	IGKV3-20	0.759405143921028
IGHV3-48	IGHGP	0.757464457978721
IGKV1-9	IGHG2	0.75677255232468
IGHV3-64D	IGHGP	0.750480087324114
IGHGP	IGHV5-10-1	0.750480087324061
IGHV4-39	IGKV3-20	0.74637131346602
IGHV5-10-1	IGHG2	0.746065835722941
IGHV4-39	IGHG3	0.742353758058352
IGLV2-11	IGKV3-20	0.739640896202207
IGHV3-64D	IGKV2D-28	0.738332024800153
IGHGP	IGKV2D-29	0.734935863696834
IGKV2D-29	IGHGP	0.734935863696834
IGKV1-9	IGKV3-20	0.733617371448959
IGKV1D-33	IGHGP	0.733061682477895
IGKV1-33	IGHGP	0.730992646119001
IGHV3-48	IGHG3	0.727795729768747
IGLV2-11	IGHGP	0.72715171183831
IGHV3-48	IGHG2	0.725852173399501
IGHV5-10-1	IGKV2D-28	0.723954070020723
IGHV5-10-1	IGKV3-20	0.723243506663483
IGHV4-39	IGKV2D-28	0.721879205060044
IGKV1-9	IGHGP	0.721217367026707
IGKV1D-33	IGKV2D-28	0.721173335361554
IGHG3	IGHV5-10-1	0.721154298999528
IGHV3-64D	IGHG3	0.721154298999088
IGKV1-33	IGKV2D-28	0.719136520905389
IGLV2-11	IGKV2D-28	0.715331828867908
IGHV4-59	IGHG2	0.712322475180217
IGHV5-10-1	IGHGP	0.711008396216552
IGKV2D-28	IGHV5-10-1	0.710718492842833
IGKV1-9	IGKV2D-28	0.709481034687135
IGHG3	IGKV2D-29	0.706217253084256
IGKV2D-29	IGHG3	0.706217253084256
IGKV1D-33	IGHG3	0.704416294157313
IGHV3-48	IGKV3-20	0.703636311485854
IGKV1-33	IGHG3	0.702428093709514
IGHV4-59	IGKV2D-28	0.701415533288599
IGLV2-11	IGHG3	0.698736965439201
IGKV2D-29	IGKV2D-28	0.695968220724604
IGHV4-61	IGHGP	0.693985441068251
IGHGP	IGHV4-61	0.693985441068251
IGKV1-9	IGHG3	0.693034375043619
IGHV4-59	IGKV3-20	0.690535771904323
IGHV4-61	IGHV4-59	0.68942814887004
IGHV4-59	IGHV4-61	0.68942814887004
IGHV5-10-1	IGHG3	0.683224222593754
IGHV3-48	IGKV2D-28	0.680513444032033
IGHV4-59	IGHGP	0.678847200276404
IGHV4-61	IGHV5-10-1	0.677557289999274
IGHV4-61	IGHV3-64D	0.677557289999014
IGHV4-61	IGKV2D-29	0.663535291998057
IGHV4-61	JCHAIN	0.663031067433097
JCHAIN	IGHV4-61	0.663031067433097
IGHV4-61	IGHV4-39	0.662503705772706
IGHV4-61	IGKV1D-33	0.661843907467017
IGHV4-61	IGKV1-33	0.659976629782883
IGHV4-61	IGLV2-11	0.656523497101804
IGHV4-59	IGHG3	0.652319718072266
IGHV4-61	IGKV1-9	0.651172817506631
IGKV3-20	IGHV5-10-1	0.635402855535068
IGKV3-20	IGHV3-64D	0.635402855534618
PPBP	IGHV5-10-1	0.629169343668784
PPBP	IGHV3-64D	0.629169343668611
IGHV4-61	IGHV3-48	0.62456540080701
IGHGP	IGHG2	0.624554200024262
IGHG2	IGHGP	0.624554200024262
IGKV3-20	IGKV2D-29	0.62222107950207
IGKV3-20	IGKV1D-33	0.620633059007736
IGKV3-20	IGKV1-33	0.618880011711094
PPBP	IGKV2D-29	0.616084984071679
PPBP	IGHV4-39	0.615098716801877
PPBP	IGKV1D-33	0.614510691685767
IGHG2	IGKV3-20	0.613639240921451
PPBP	IGKV1-33	0.612772915190962
PPBP	IGKV1-9	0.612046504228885
PPBP	IGLV2-11	0.609487740322135
IGHV4-61	IGHG3	0.592026926552066
IGHG3	IGHV4-61	0.592026926552066
IGHV4-59	JCHAIN	0.591633430913934
JCHAIN	IGHV4-59	0.591633430913934
IGHGP	IGKV3-20	0.584781809710815
JCHAIN	IGHV3-64D	0.583291158894159
JCHAIN	IGHV5-10-1	0.583291158894014
IGHG2	IGKV2D-28	0.580778665196932
PPBP	IGHV3-48	0.579823695433023
IGHGP	IGKV2D-28	0.571505148836417
JCHAIN	IGKV2D-29	0.571174834315786
