Gene1	Gene2	corVal	pValue
IGKV1-9	IGKV1-9	1	0
IGKV3-20	IGKV3-20	1	0
IGKV1-33	IGKV1-33	1	0
IGKV1D-33	IGKV1D-33	1	0
IGKV2D-29	IGKV2D-29	1	0
IGKV2D-28	IGKV2D-28	1	0
JCHAIN	JCHAIN	1	0
PPBP	PPBP	1	0
IGHG2	IGHG2	1	0
IGHGP	IGHGP	1	0
IGHA1	IGHA1	1	0
IGHG3	IGHG3	1	0
IGHV3-64D	IGHV3-64D	1	0
IGHV5-10-1	IGHV5-10-1	1	0
IGHV4-39	IGHV4-39	1	0
IGHV3-48	IGHV3-48	1	0
IGHV4-59	IGHV4-59	1	0
IGHV4-61	IGHV4-61	1	0
TPSAB1	TPSAB1	1	0
IGLV2-11	IGLV2-11	1	0
IGKV1D-33	IGKV1-33	0.833537075049665	0
IGKV1-33	IGKV1D-33	0.833537075049664	0
IGHG2	IGHG3	0.359915938611481	7.80121082682711e-265
IGHG3	IGHG2	0.359915938611481	7.80121082682977e-265
IGHV3-64D	IGKV1-9	0.280452394167653	3.10504008519249e-157
IGKV1-9	IGHV3-64D	0.280452394167653	3.10504008519249e-157
IGHV4-61	IGHV4-59	0.266463307156952	1.44719821493378e-141
IGHV4-59	IGHV4-61	0.266463307156952	1.44719821493378e-141
IGHV4-61	IGHV4-39	0.251842455931855	3.59675858286415e-126
IGHV4-39	IGHV4-61	0.251842455931855	3.59675858286415e-126
IGHV3-64D	IGHGP	0.242144547331698	1.6824865244182e-116
IGHGP	IGHV3-64D	0.242144547331698	1.68248652441868e-116
IGHGP	IGHG2	0.240499831898807	6.6630263474649e-115
IGHG2	IGHGP	0.240499831898807	6.6630263474649e-115
IGHGP	IGHG3	0.231592498380319	1.84361522053394e-106
IGHG3	IGHGP	0.231592498380319	1.8436152205342e-106
IGHV4-61	IGKV2D-29	0.189967948978977	1.29142373490576e-71
IGKV2D-29	IGHV4-61	0.189967948978977	1.29142373490587e-71
IGKV3-20	IGHGP	0.18947336999495	3.02351056406644e-71
