,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,HLA-DRA,S100A8,TRBV4-1,LDHB,CCL5,IGFBP7,IFITM1,C1QA,SERPINA1,DCN,BIRC3,CLDN5,MS4A1,LGALS7
1,HLA-DPB1,S100A9,LAIR2,IL7R,NKG7,MYL9,LTB,C1QC,LST1,APOD,TXN,EGFL7,CD79A,KRT6A
2,HLA-DRB1,VCAN,BATF,ITGB1,CTSW,CALD1,GNLY,RNASE1,FCER1G,SERPING1,CDKN1A,RAMP2,CD79B,LY6D
3,HLA-DRB5,S100A12,IL22,LCK,GZMA,RGS5,TRBV4-1,C1QB,AIF1,C1S,FSCN1,TIMP3,CD37,LGALS7B
4,HLA-DPA1,FCN1,IL32,CD3E,GZMH,SPARC,IL32,CCL18,CTSS,S100A13,CD83,IGFBP7,FCER2,KRT14
5,HLA-DQA1,MNDA,NBAS,CD3D,CCL4,MGP,SLC9A3R1,PLTP,PSAP,CFD,LSP1,GNG11,MEF2C,S100A2
6,HLA-DQB1,CD14,GNLY,ISG20,PRF1,TAGLN,PTPRCAP,SELENOP,LILRB2,COL6A2,SAMSN1,APP,FCMR,AQP3
7,PLAUR,CTSS,PGM2L1,EVL,CD8A,TPM2,CD52,CCL13,LILRA5,LUM,CFLAR,PECAM1,BANK1,SFN
8,CD74,NCF1,PTPRCAP,GIMAP4,CST7,ACTA2,SYNE2,F13A1,CFD,SERPINF1,ZFAS1,TM4SF1,CXCR4,KRT5
9,NFKBIA,SERPINA1,ALOX5AP,SPOCK2,GZMB,TIMP3,OPTN,CTSZ,LILRB1,COL6A1,TRAF1,IFITM3,IGHM,KRT16
10,GPR183,CSTA,IFITM1,TXNIP,GZMK,ADIRF,CD3E,MRC1,FCGR3A,COL6A3,ID2,VWF,FCRLA,S100A7
11,ANPEP,TSPO,SFXN1,SARAF,CD7,IFITM3,HLA-C,CTSC,IFITM3,MMP2,LAMP3,TFPI,CD69,PERP
12,CLEC10A,PLBD1,CD82,IL32,CD8B,SERPING1,MT-ND5,MMP9,SAT1,SELENOM,CCL17,SPTBN1,CD74,S100A14
13,NR4A2,CYBB,IFITM2,LY6E,GZMM,BGN,TRAV8-3,TGFBI,CD68,C3,TMSB10,PDLIM1,CD19,SERPINB4
14,IER3,LYZ,CD3E,CD7,LAG3,NDUFA4L2,IFITM2,LGMN,MS4A7,CTSK,B2M,ECSCR,RALGPS2,S100A16
15,GSN,LST1,TSPAN13,PTPRCAP,IFNG,NOTCH3,CD3D,STAB1,SMIM25,LAPTM4A,CSF2RA,CAV1,LTB,KRT17
16,HLA-DMA,TKT,TIGIT,GIMAP7,LCK,FRZB,ZAP70,CD163,WARS,CXCL12,PNRC1,CAVIN2,CD83,CA2
17,FTH1,AGTRAP,TCF4,NOSIP,PTPRCAP,NR2F2,EVL,MS4A4A,FTH1,PLAC9,SYNGR2,CRIP2,CD24,DSG3
18,CD83,DUSP6,CD3D,ITM2C,KLRD1,LHFPL6,MT-ND4L,NPC2,BCL2A1,C1R,CCR7,HYAL2,HLA-DRA,FGFBP1
19,TGFBI,FPR1,TNFRSF18,LAT,CD69,CAV1,CXCR3,CTSD,HCK,GSN,MARCKS,TSPAN7,BLNK,GJB2
20,FOSB,FGR,CRIP1,CD247,CD247,TPM1,GIMAP7,CTSB,LRRC25,SOD3,CRIP1,ENG,VPREB3,DSC3
21,SAT1,CFD,HCST,CD52,KLRG1,A2M,HLA-A,MS4A6A,ASAH1,ADH1B,RASSF4,CD59,HVCN1,TRIM29
22,IL1RN,FCER1G,RPL36,CD3G,CLEC2B,MFGE8,TCF7,ACP5,CASP1,GPNMB,NUB1,SELENOM,BTG1,FXYD3
